was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time
False,0.0,False,US,02/02/2013,2037,N950UW,DCA,14:00
False,0.0,False,US,02/02/2013,2123,N950UW,LGA,10:00
False,0.0,False,US,02/02/2013,2129,N944UW,LGA,13:00
False,0.0,False,US,02/02/2013,2133,N965UW,LGA,15:00
False,0.03,True,US,02/03/2013,0225,N672AW,PHX,16:20
False,0.03,True,US,02/03/2013,0303,N672AW,CLT,09:35
False,0.03,True,US,02/03/2013,0604,N677AW,PHX,09:55
False,0.03,True,US,02/03/2013,0859,N563UW,PHL,07:00
False,0.03,True,US,02/03/2013,0897,N125UW,PHL,09:30
False,0.03,True,US,02/03/2013,1021,N193UW,CLT,08:00
False,0.03,True,US,02/03/2013,1239,N956UW,PHL,08:30
False,0.03,True,US,02/03/2013,1270,N740UW,PHL,05:30
False,0.03,True,US,02/03/2013,1521,N184US,CLT,06:00
False,0.03,True,US,02/03/2013,1543,N562UW,CLT,14:40
False,0.03,True,US,02/03/2013,1667,N760US,CLT,17:02
False,0.03,True,US,02/03/2013,1683,N442US,CLT,11:10
False,0.03,True,US,02/03/2013,1779,N958UW,PHL,14:30
False,0.03,True,US,02/03/2013,1788,N176UW,CLT,19:00
False,0.03,True,US,02/03/2013,1801,N769US,CLT,12:45
True,0.03,True,US,02/03/2013,1829,N947UW,PHL,19:30
False,0.03,True,US,02/03/2013,2025,N741UW,DCA,08:00
False,0.03,True,US,02/03/2013,2027,N709UW,DCA,09:00
False,0.03,True,US,02/03/2013,2029,N705UW,DCA,10:00
False,0.03,True,US,02/03/2013,2031,N965UW,DCA,11:00
False,0.03,True,US,02/03/2013,2033,N760US,DCA,12:00
False,0.03,True,US,02/03/2013,2035,N756US,DCA,13:00
False,0.03,True,US,02/03/2013,2037,N745VJ,DCA,14:00
False,0.03,True,US,02/03/2013,2039,N705UW,DCA,15:00
False,0.03,True,US,02/03/2013,2041,N965UW,DCA,16:00
True,0.03,True,US,02/03/2013,2043,N755US,DCA,17:00
False,0.03,True,US,02/03/2013,2045,N756US,DCA,18:00
False,0.03,True,US,02/03/2013,2047,N745VJ,DCA,19:00
False,0.03,True,US,02/03/2013,2049,N705UW,DCA,20:00
False,0.03,True,US,02/03/2013,2123,N766US,LGA,10:00
False,0.03,True,US,02/03/2013,2127,N949UW,LGA,12:00
False,0.03,True,US,02/03/2013,2131,N952UW,LGA,14:00
False,0.03,True,US,02/03/2013,2135,N949UW,LGA,16:00
False,0.03,True,US,02/03/2013,2139,N952UW,LGA,18:00
False,0.03,True,US,02/03/2013,2143,N949UW,LGA,20:00
False,0.0,False,US,02/04/2013,0225,N654AW,PHX,16:20
False,0.0,False,US,02/04/2013,0280,N810AW,PHX,06:00
False,0.0,False,US,02/04/2013,0303,N678AW,CLT,09:35
False,0.0,False,US,02/04/2013,0604,N657AW,PHX,09:55
False,0.0,False,US,02/04/2013,0722,N752US,PHL,18:30
False,0.0,False,US,02/04/2013,0754,N460UW,PHL,15:30
False,0.0,False,US,02/04/2013,0897,N951UW,PHL,09:30
False,0.0,False,US,02/04/2013,0967,N737US,PHL,07:30
False,0.0,False,US,02/04/2013,1029,N186US,CLT,08:00
False,0.0,False,US,02/04/2013,1097,N959UW,PHL,20:30
False,0.0,False,US,02/04/2013,1105,N554UW,CLT,14:40
False,0.0,False,US,02/04/2013,1239,N110UW,PHL,08:30
False,0.0,False,US,02/04/2013,1249,N710UW,CLT,05:00
False,0.0,False,US,02/04/2013,1289,N950UW,PHL,05:30
False,0.0,False,US,02/04/2013,1295,N128UW,PHL,07:00
False,0.0,False,US,02/04/2013,1521,N564UW,CLT,06:00
False,0.0,False,US,02/04/2013,1605,N956UW,PHL,13:30
False,0.0,False,US,02/04/2013,1635,N959UW,PHL,16:30
False,0.0,False,US,02/04/2013,1667,N721UW,CLT,17:02
False,0.0,False,US,02/04/2013,1727,N740UW,PHL,12:30
False,0.0,False,US,02/04/2013,1747,N536UW,CLT,12:45
False,0.0,False,US,02/04/2013,1779,N951UW,PHL,14:30
False,0.0,False,US,02/04/2013,1807,N758US,PHL,06:30
False,0.0,False,US,02/04/2013,1819,N460UW,PHL,10:30
False,0.0,False,US,02/04/2013,1827,N944UW,PHL,11:30
False,0.0,False,US,02/04/2013,1829,N951UW,PHL,19:30
False,0.0,False,US,02/04/2013,1845,N733UW,PHL,17:30
False,0.0,False,US,02/04/2013,1981,N457UW,CLT,11:10
False,0.0,False,US,02/04/2013,2021,N118US,DCA,06:00
False,0.0,False,US,02/04/2013,2023,N755US,DCA,07:00
False,0.0,False,US,02/04/2013,2025,N715UW,DCA,08:00
False,0.0,False,US,02/04/2013,2027,N723UW,DCA,09:00
False,0.0,False,US,02/04/2013,2029,N745VJ,DCA,10:00
False,0.0,False,US,02/04/2013,2031,N121UW,DCA,11:00
False,0.0,False,US,02/04/2013,2033,N746UW,DCA,12:00
False,0.0,False,US,02/04/2013,2035,N715UW,DCA,13:00
False,0.0,False,US,02/04/2013,2037, ,DCA,14:00
False,0.0,False,US,02/04/2013,2039,N745VJ,DCA,15:00
False,0.0,False,US,02/04/2013,2041,N121UW,DCA,16:00
False,0.0,False,US,02/04/2013,2043,N746UW,DCA,17:00
False,0.0,False,US,02/04/2013,2045,N708UW,DCA,18:00
True,0.0,False,US,02/04/2013,2047,N747UW,DCA,19:00
True,0.0,False,US,02/04/2013,2049,N733UW,DCA,20:00
False,0.0,False,US,02/04/2013,2115,N965UW,LGA,06:00
False,0.0,False,US,02/04/2013,2117,N953UW,LGA,07:00
False,0.0,False,US,02/04/2013,2119,N748UW,LGA,08:00
False,0.0,False,US,02/04/2013,2121,N949UW,LGA,09:00
False,0.0,False,US,02/04/2013,2123,N965UW,LGA,10:00
False,0.0,False,US,02/04/2013,2125,N953UW,LGA,11:00
False,0.0,False,US,02/04/2013,2127,N952UW,LGA,12:00
False,0.0,False,US,02/04/2013,2129,N949UW,LGA,13:00
False,0.0,False,US,02/04/2013,2131,N965UW,LGA,14:00
